Module,Description
Test::Synopsis,"Test your SYNOPSIS code"
Mojolicious::Plugin::Fondation::User::UI::Bootstrap,"Web UI for Fondation::User — templates, assets, and i18n"
Mojolicious::Plugin::Fondation::Setup,"Setup wizard generator — scans plugins for user-configurable parameters, generates a setup workflow, and serves the wizard UI"
Mojolicious::Plugin::Fondation,"Hierarchical plugin loader with configuration priority and resource sharing"
DBIx::Class::Async,"Non-blocking, multi-worker asynchronous wrapper for DBIx::Class"
App::genstopwords,"Generate a .stopwords file for POD spell-checking"
Imager::File::HEIF,"HEIF image file support for Imager"
RPi::SPI,"Communicate with devices over the Serial Peripheral Interface (SPI) bus on Raspberry Pi"
WiringPi::API,"API for wiringPi, providing access to the Raspberry Pi's board, GPIO and connected peripherals"
Math::Prime::Util,"Utilities related to prime numbers, including fast sieves and factoring"
Math::Prime::Util::GMP,"Utilities related to prime numbers, using GMP"
BarefootJS::Backend::Xslate,"Text::Xslate (Kolon) rendering backend for BarefootJS"
Mojolicious::Plugin::BarefootJS,"Mojolicious integration for BarefootJS"
BarefootJS,"Engine- and framework-agnostic server runtime for BarefootJS marked templates"
Scalar::ValueTags,"Attach propagated metadata to data values"
SPVM::Go,"Goroutines of The Go Programming Language"
SPVM::Sys,"System Calls for File IO, Sockets, Time, Process, Signals, Users"
CPAN::MetaCurator,"Manage a database of curated Perl modules"
Dist::Zilla::PluginBundle::Author::ETHER,"A plugin bundle for distributions built by ETHER"
CBOR::Free,"Fast CBOR for everyone"
OpenSearch::Client,"An unofficial Perl client for OpenSearch"
HTML::OSM,"Generate an interactive OpenStreetMap with Leaflet.js"
Perl::Critic::PJCJ,"Perl::Critic policies for code style consistency"
Schedule::Easing,"Stateless, stable selection of events with increased frequency during a schedule"
OpenAPI::Modern,"Validate HTTP requests and responses against an OpenAPI v3.0, v3.1 or v3.2 document"
Dist::Surveyor,"Survey installed modules and determine the specific distribution versions they came from"
MojoX::Authentication,"[Put something meaningful here!]"
Net::Async::MCP,"Async MCP (Model Context Protocol) client for IO::Async"
Thread::CSP,"Communicating sequential processes threading for Perl"
CPAN::Requirements::Dynamic,"Dynamic prerequisites in meta files"
CPANSA::DB,"the CPAN Security Advisory data as a Perl data structure, mostly for CPAN::Audit"
Mojolicious::Plugin::Fondation::User,"User management plugin for Fondation"
Music::VoicePhrase,"Construct measured phrases of notes"
Dist::Zilla::PluginBundle::Codeberg,"Access Codeberg functionality to maintain distros from Dist::Zilla"
Dist::Zilla::PluginBundle::GEEKRUTH,"Be like GeekRuthie when you build your dists"
Mojolicious::Plugin::Fondation::Setup,"Setup wizard generator — scans plugins for user-configurable parameters, generates a setup workflow, and serves the wizard UI"
Mojolicious::Plugin::Fondation::Layout::Bootstrap,"Simple layout plugin for Fondation"
YAMLStar,"YAML 1.2 loader via FFI"
Mojolicious::Plugin::Fondation::Layout::Bootstrap,"Simple layout plugin for Fondation"
Mojolicious::Plugin::Fondation::Setup,"Setup wizard generator — scans plugins for user-configurable parameters, generates a setup workflow, and serves the wizard UI"
UTF8,"makes UTF-8 scripting easy for enterprise use"
Chandra::Markdown,"Render Markdown in Chandra apps"
Mojolicious::Plugin::Fondation,"Hierarchical plugin loader with configuration priority and resource sharing"
Markdown::Simple,"Markdown to HTML"
Mojolicious::Plugin::Fondation::Workflow::UI::Bootstrap,"Bootstrap 5 UI components for Fondation::Workflow"
Search::Trigram,"Trigram inverted index with Dice coefficient scoring"
Mojolicious::Plugin::Fondation::Layout::Bootstrap,"Simple layout plugin for Fondation"
Mojolicious::Plugin::Fondation::Workflow,"Workflow plugin — state machines with UI and authorization for Fondation"
Tk::ColorEntry,"Entry widget with a color selection facilities."
RPi::Const,"Constant variables for embedded programming, including the RPi:: family of modules"
Workflow,"Simple, flexible system to implement workflows"
Crypt::OpenSSL,"Perl extension to OpenSSL's X509 API."
Imager::File::WEBP,"WEBP image file support for Imager"
Mojolicious::Plugin::Fondation::Asset,"AssetPack wrapper -- generate via command, load pre-built def at runtime"
Mojolicious::Plugin::Fondation::Asset,"AssetPack wrapper -- generate via command, load pre-built def at runtime"
Tk::DocumentTree,"Tk::ListBrowser based document list"
DBIO::PostgreSQL::EV,"Async PostgreSQL storage for DBIO via EV::Pg"
DBIO::PostgreSQL::PostGIS,"PostGIS spatial extension support for DBIO::PostgreSQL"
DBIO::Oracle,"Oracle-specific schema management for DBIO"
DBIO::MySQL::EV,"Async MySQL/MariaDB storage for DBIO via EV::MariaDB"
DBIO::Deprecated,"Registry of CPAN redirect stubs for renamed/retired DBIO modules"
DBIO::PostgreSQL::Age,"Apache AGE graph database support for DBIO::PostgreSQL"
DBIO::MSSQL,"Microsoft SQL Server-specific schema management for DBIO"
DBIO::GraphQL,"Auto-generate a GraphQL schema from a DBIO schema"
DBIO::Forked,"Dependency-free, fork-based async layer for DBIO drivers"
DBIO::Firebird,"Firebird-specific schema management for DBIO"
DBIO::DuckDB,"DuckDB-specific schema management for DBIO"
DBIO,"IBM DB2-specific schema management for DBIO"
DBIO::Async,"Shared, loop-agnostic async layer for DBIO drivers"
DBIO::Sybase,"Sybase-specific schema management for DBIO"
DBIO::SQLite,"SQLite-specific schema management for DBIO"
DBIO::PostgreSQL,"PostgreSQL-specific schema management for DBIO"
DBIO::MySQL,"MySQL-specific schema management for DBIO"
DBIO,"Native relational mapping for Perl, built on DBI"
Music::VoicePhrase,"Construct measured phrases of notes"
Jacode4e::RoundTrip,"Converts JIS X 0213 Encodings with Round-Trip"
Dist::Zilla::PluginBundle::DBIO,"Dist::Zilla plugin bundle for DBIO distributions"
App::Test::Generator,"Fuzz Testing, Mutation Testing, LCSAJ Metrics and Test Dashboard for Perl modules"
App::DesktopWorkspaceUtils,"Utilities related to DesktopWorkspace"
Mojolicious::Plugin::Fondation::Model::DBIx::Async,"Fondation plugin exposing DBIx::Class::Async natively"
Language::Prolog::Sugar,"Syntactic sugar for Prolog term constructors"
Slug,"XS URL slug generator with custom ops"
OpenAPI::Modern,"Validate HTTP requests and responses against an OpenAPI v3.0, v3.1 or v3.2 document"
CGI::Lingua,"Create a multilingual web page"
Apophis,"Content addressable storage with deterministic UUID v5 identifiers"
PDF::Make,"PDF generation, parsing, and editing"
Feersum,"A fast PSGI/HTTP server for Perl based on EV/libev"
App::bcrypt,"A command-line tool to deal with bcrypt password hashing"
Eshu,"Indentation fixer for C, Perl, XS, XML, HTML, CSS, JavaScript and POD source files"
Map::Tube::Server,"Dancer2 based server for Map::Tube."
Data::Sync::Shared,"Shared-memory synchronization primitives for Linux"
Data::SpatialHash::Shared,"Shared-memory spatial hash index for Linux"
Data::ReqRep::Shared,"High-performance shared-memory request/response IPC for Linux"
Data::Log::Shared,"Append-only shared-memory log (WAL) for Linux"
Data::Heap::Shared,"Shared-memory binary min-heap (priority queue) for Linux"
Data::BitSet::Shared,"Shared-memory fixed-size bitset for Linux"
Map::Tube::Barcelona,"Interface to the Barcelona Metro Map."
CLI::Simple,"Simple command line script accelerator"
Number::Iterator,"The great new Number::Iterator!"
Tlaloc,"Wetness magic on Perl scalars, blessed by the Aztec rain god"
